category,count
POLITICS,35602
WELLNESS,17945
ENTERTAINMENT,17362
TRAVEL,9900
STYLE & BEAUTY,9814
PARENTING,8791
HEALTHY LIVING,6694
QUEER VOICES,6347
FOOD & DRINK,6340
BUSINESS,5992
COMEDY,5400
SPORTS,5077
BLACK VOICES,4583
HOME & LIVING,4320
PARENTS,3955
THE WORLDPOST,3664
WEDDINGS,3653
WOMEN,3572
CRIME,3562
IMPACT,3484
DIVORCE,3426
WORLD NEWS,3299
MEDIA,2944
WEIRD NEWS,2777
GREEN,2622
WORLDPOST,2579
RELIGION,2577
STYLE,2254
SCIENCE,2206
TECH,2104
TASTE,2096
MONEY,1756
ARTS,1509
ENVIRONMENT,1444
FIFTY,1401
GOOD NEWS,1398
U.S. NEWS,1377
ARTS & CULTURE,1339
COLLEGE,1144
LATINO VOICES,1130
CULTURE & ARTS,1074
EDUCATION,1014
